index, t, x, v
0 0.0 2.5 0.0
1 0.1000100010001 2.5 -0.1585817293780162
2 0.2000200020002 2.4849075311413893 0.22753575639706067
3 0.3000300030003 2.5065624615744984 -0.19651491216788675
4 0.4000400040004 2.4878598329439545 -0.6083221772708378
5 0.5000500050005 2.4299648689246314 0.9724121546054898
6 0.6000600060006 2.5225108401325373 1.9593016440661843
7 0.7000700070007 2.7089806129347043 1.8448052004689197
8 0.8000800080008 2.8845535818226313 1.8874936892806398
9 0.9000900090009001 3.0641892803234776 2.3035998844128205
10 1.000100010001 3.2834264500438572 3.0499434679994715
11 1.1001100110011 3.5736942948444326 3.539919169232764
12 1.2001200120012 3.9105938861983067 2.1988706092631665
13 1.3001300130013 4.119863808556834 2.202629593121059
14 1.4001400140014 4.329491479232509 2.170334809303845
15 1.5001500150015001 4.536045605301447 3.0118503644829198
16 1.6001600160016 4.822688070426783 3.4119017834861656
17 1.7001700170017 5.147404048855515 1.5365691502995318
