index, t, x, v
0 0.0 2.5 0.0
1 0.01000010000100001 2.5 -0.005014343265202211
2 0.02000020000200002 2.499949881129771 0.006722453879136267
3 0.03000030000300003 2.5000170727390745 -0.006007990564406444
4 0.04000040000400004 2.499957022263168 -0.019614678446274583
5 0.05000050000500005 2.4997609715598874 0.028557001633881973
6 0.06000060000600006 2.5000464016916757 0.06266013289146177
7 0.07000070000700007 2.500672696084146 0.0648732951212064
8 0.08000080000800008 2.5013211112578877 0.07170986573221554
9 0.0900009000090001 2.5020378586492584 0.09047550827959115
10 0.1000010000100001 2.5029421705438657 0.12091667342436226
11 0.11000110001100011 2.504150744975922 0.14546706269802326
12 0.12000120001200013 2.505604703042285 0.11357054626868543
13 0.13000130001300014 2.506739852187294 0.12019299056820845
14 0.14000140001400013 2.5079411933357005 0.12568011001533363
15 0.15000150001500015 2.5091973788002933 0.15869438197354394
16 0.16000160001600017 2.5107835452662783 0.18024897823388603
17 0.17000170001700018 2.5125851521111278 0.13103842665763954
18 0.1800018000180002 2.51389489449479 0.12179911652935915
19 0.1900019000190002 2.515112289035308 0.16256038966670006
20 0.2000020000200002 2.516737096640846 0.1516550807836214
21 0.21000210002100023 2.518252904576475 0.13828245643402012
22 0.22000220002200022 2.5196350517735087 0.14982805745713673
23 0.23000230002300023 2.5211325984254236 0.22926164668061827
24 0.24000240002400025 2.5234240918694826 0.20401738372550735
25 0.25000250002500024 2.5254632663413137 0.18967763062508008
26 0.2600026000260003 2.5273591135244557 0.19252841422668082
27 0.2700027000270003 2.529283454579242 0.1997485424061428
28 0.28000280002800026 2.5312799615485115 0.21237876309283743
29 0.2900029000290003 2.5334027088563618 0.21218952060003526
30 0.3000030000300003 2.5355235646662755 0.24489424724426004
31 0.31000310003100034 2.537971307540729 0.2271711114480173
32 0.32000320003200033 2.5402419058728083 0.2065848273415607
33 0.3300033000330003 2.54230674220435 0.14831918187291776
34 0.34000340003400037 2.5437892074915482 0.10259133489491165
35 0.35000350003500036 2.5448146183037474 0.08140441878510846
36 0.3600036000360004 2.5456282637375316 0.09504389294752162
37 0.3700037000370004 2.5465782371008934 0.06393964999433796
38 0.3800038000380004 2.547217320396764 0.06681092414420788
39 0.39000390003900043 2.5478851023693907 0.040693257109763015
40 0.4000040000400004 2.5482918356073068 0.04880659330037452
41 0.4100041000410004 2.548779662464498 -0.009036489004501123
42 0.42000420004200045 2.5486893418390864 -0.013915290043684574
43 0.43000430004300044 2.5485502571017613 -0.051672781573403714
44 0.44000440004400043 2.5480337824016703 -0.07539944848683978
45 0.4500045000450005 2.5472801572559263 -0.10733997806379174
46 0.46000460004600047 2.546207283272947 -0.10021851284211829
47 0.4700047000470005 2.5452055890581664 -0.0908595688061328
48 0.4800048000480005 2.544297438439588 -0.10923531175175707
49 0.4900049000490005 2.5432056204038935 -0.10101124077846865
50 0.5000050000500005 2.542196002792874 -0.06784815129792729
51 0.5100051000510005 2.541517853629498 -0.06606869693968948
52 0.5200052000520006 2.540857490293167 -0.059960343160765504
53 0.5300053000530005 2.540258180573265 -0.0601909637958574
54 0.5400054000540006 2.5396565657766916 -0.0355177993355442
55 0.5500055000550006 2.5393015617648858 -0.0029724779047032995
56 0.5600056000560005 2.5392718515463217 -0.025486949623587975
